25 20
#############
#t..........#    ########
#...s...s...######......#
#......p................#
#...........######....k.#
#.....s.....#    #......#
#...****....#    #..D...#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #..g...#
  #.......#      #......#
  #.......#      #......d
  #.S.....#      #..***.#
  #.......#      #....f.#
  #.......#      #......#
  #########       ######
